title,content,sentiment_chunks,title_sentiment,content_sentiment
Zardari links progress to centre-province coordination,"US
President stresses unity, democratic continuity in meetings with PPP, cabinet members
President Asif Ali Zardari on Friday said that the country's progress and prosperity were contingent upon strong coordination between the federal and provincial governments as he called for joint strategies and institutional cooperation to address the multifaceted challenges.
""National development targets can only be achieved when the Centre and provinces work in tandem,"" Zardari said during a string of high-level meetings at the Governor House in Lahore.
The president met with PPP leaders, federal ministers and political workers to discuss political stability, economic recovery and public service delivery.
The meetings focused on the upcoming budget, the worsening economic situation and ongoing development projects.
It is pertinent to note that the meetings come as the president has intensified efforts to reorganise the PPP in Punjab, and has recently issued detailed organisational directives. He has also reportedly extended his stay in the provincial capital till June 1.
According to sources, the president repeatedly stressed the need for national unity, parliamentary strength and responsive governance.
In one session, a delegation led by former premier Raja Pervez Ashraf, accompanied by PPP Punjab President Syed Hassan Murtaza, Information Secretary Nawab Shehzad Cheema, Mehr Irshad Sia and others, briefed the president on constituency-level issues and shared suggestions for public relief.
Governor Punjab Sardar Saleem Haider was also present.
Zardari said the country urgently needs political stability and national consensus, stressing that ""democratic forces must walk together to ensure public welfare and national progress"".
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE']",['POSITIVE'],POSITIVE
Weaponising water: India's destabilising role in South Asia,"PK
.
India's aggressive and unilateral approach to regional geopolitics, exemplified by its suspension of the Indus Waters Treaty (IWT), is a stark reminder of its willingness to prioritise hegemonic ambitions over regional stability. This weaponisation of shared natural resources highlights India's increasing disregard for international norms and raises critical questions about its commitment to sustainable and cooperative regional development.
India also failed to present credible evidence linking Pakistan to the Pahalgam incident and instead used unfounded allegations to portray Pakistan as a scapegoat while rationalising its own escalating hostility. Such actions further obstruct dialogue and hamper regional cooperation.
Meanwhile, Pakistan has consistently advocated for a fair and neutral investigation into the Pahalgam incident, showing its commitment to justice and transparency. Even in the face of aerial provocations and civilian casualties, Pakistan refrained from retaliation until it was left with no choice.
India seems to be using unfounded accusations to strategically target Pakistan internationally and deflect from its internal issues, like human rights abuses in Kashmir and anti-Muslim violence in India. It much prefers hostility and dominance over constructive engagement and peacebuilding.
South Asia is already one of the most water-stressed regions in the world, facing climate change, resource shortages and economic inequality. The IWT once ensured fair distribution of water between India and Pakistan, but India's decision to weaken this treaty now threatens Pakistan's agricultural sector, which supports over 70% of its population.
Cutting water supplies worsens Pakistan's food security and hinders climate adaptation while also setting a dangerous precedent for powerful nations to weaponise shared resources. Such actions sow mistrust, making regional cooperation even harder.
India's actions reveal a deep contradiction in its foreign policy. On one hand, it wants to be seen as a global leader in climate action and international cooperation, aiming to be a vishwaguru (global teacher). While on the other, its divisive regional behaviour reflects selfishness and power plays. This double standard damages India's global reputation and weakens its moral authority on climate justice and sustainable development.
Global response to this crisis has been disappointing. While Pakistan's procurement of $1.4 billion from the IMF's Resilience and Sustainability Facility is a positive step for climate adaptation, India's IWT violation barely faces accountability. Global inaction sends a dangerous message: powerful nations can break treaties without consequences. This ultimately encourages similar behaviour elsewhere and weakens international systems.
South Asia now stands at a crucial moment. The region can either continue down a path of conflicts fuelled by resource disputes or work together to find common solutions. The South Asian Water Security Initiative (SAWSI), building on the principles of the IWT, could promote fair water sharing, joint efforts to combat climate change, and better regional stability.
But it can only succeed if India changes steps away from its current aggressive policies and takes on the role of a responsible leader, working for mutual trust and shared progress. Otherwise, water conflicts even risk causing global instability.
Water has always been a symbol of life and growth, sustaining civilisations for millennia. Its weaponisation risks destroying that legacy and deepening divisions across South Asia.
The international community must recognise the gravity of this crisis and hold India accountable for its actions, prioritising peace over political gain.
India must also rethink its priorities and let go of its hegemonic ambitions, embracing a future built on collaboration and coexistence. Only then can it restore its credibility and ensure a more peaceful and prosperous South Asia.
COMMENTS","['POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['POSITIVE'],NEGATIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Markets in twin cities buzz with Eid prep,"US
Shopkeepers attract customers with special discounts
The twin cities of Islamabad and Rawalpindi are abuzz with Eid preparations as shoppers flock to markets, malls, and shopping centres. The festive spirit is in full swing, with families, youth, and children eagerly searching for the best deals, turning the cities into a lively spectacle of colour, joy, and celebration.
The commercial hubs are bustling with activity as vendors display vibrant Eid collections, ranging from traditional attire to festive delicacies. Shopkeepers attract customers with special discounts, adding to the excitement and anticipation of the upcoming celebration.
This year, rising tailoring costs make off-the-rack outfits a practical choice, offering affordability and diverse fashion options. For many, these pre-stitched options strike the right balance between affordability and trendiness.
Inamur Rehman, a resident of Islamabad, while talking to the media, said, ""It's overwhelming to witness such massive crowds yet encouraging for local businesses."" he highlighted how ready-made garments have streamlined Eid shopping for many while stressing the need for more discounts.
""Shopkeepers should offer promotions to help more people celebrate Eid with ease,"" he said, adding that it's essential to support the underprivileged during this time. ""As Muslims, we have a duty to remember and support those who are less fortunate,"" said Romana, a shopper from Rawalpindi.
""This year, I chose ready-to-wear clothes because of their variety and affordability,"" she said. ""I found everything I needed, in line with the latest trends and traditional styles."" She urged authorities and business owners to introduce more price cuts on Eid-related items. ""If discounts are offered, lower-income families would be able to participate in the celebrations without financial strain,"" she added.
After spotting the crescent moon of Dhul Hijjah on coming Wednesday, the shopping frenzy is set to intensify as malls and bazaars extend hours to accommodate surging crowds.
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE']",['NEGATIVE'],POSITIVE
"Cabinet approves major climate, legal reforms","US
Expresses concern over Ali Wazir's repeated arrests
The 33rd meeting of the Khyber-Pakhtunkhwa Cabinet, chaired by Chief Minister Ali Amin Khan Gandapur, convened on Friday to deliberate on a broad array of legislative, administrative, and development matters.
Key cabinet members, the Chief Secretary, Advocate General, and senior officials attended the session.
Briefing media on the outcomes, Advisor to the Chief Minister on Information and Public Relations, Barrister Dr Muhammad Ali Saif, said the cabinet approved the Climate Action Board (CAB) Bill 2025, a landmark step toward a coordinated provincial response to climate change. The financially independent board will oversee climate policies, track greenhouse gas emissions, support climate research, and mobilize funding. It will function autonomously and be empowered to appoint staff and consultants necessary to execute its mandate.
In legislative actions, the cabinet endorsed forwarding three provincial assembly resolutions to the federal government. Resolution No 167, passed on April 28, voiced grave concern over the repeated arrests and alleged mistreatment of former MNA Ali Wazir. It demanded his immediate release, access to medical care, and withdrawal of politically motivated cases.
Resolution No 161 urged a revision of Pakistan's Afghanistan policy, citing its failure to curb terrorism in K-P and its negative impact on bilateral relations. It called for K-P to be given a more active role in peace dialogues.
The third resolution, No 168, condemned India's aggressive posture, including threats related to the Indus Waters Treaty, and expressed solidarity with Pakistan's armed forces. The assembly urged the international community to act against India's violations of international obligations.
Among development projects, the cabinet approved an enhanced budget for the construction of Jani Khel police station in Bannu, increasing costs from Rs100 million to Rs140.43 million. It also sanctioned a cadastral mapping pilot project in Peshawar and Mohmand through an MoU between the Board of Revenue and the Survey of Pakistan.
Further approvals included amendments to Health Department recruitment rules enabling hiring of dental surgeons and nurses, and changes to the Tourism Act 2019 to empower the board to manage employment matters of tourism police.
The cabinet ratified construction of a 750-meter road near Odigram Bridge in Lower Dir at a cost of Rs190 million and raised the budget for Takatak-Haya Sairai Bridge to Rs1.02 billion.
COMMENTS","['POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE']",['POSITIVE'],POSITIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Poland moves to curb migrant crossings,"US
.
Poland said Friday that it had launched an information campaign abroad to deter migrants from trying to cross into the European Union through its border with Belarus.
Warsaw has blamed Belarus and its ally Russia for what it calls a hybrid operation to increase migratory pressure at its eastern border in a bid to destabilise the bloc, allegations both countries deny.
In March, the Polish government suspended the right to seek asylum, a move intended to deter irregular migrants that was met with outrage from rights groups.
""Poland protects its borders effectively. We've launched an information campaign in Afghanistan, Ethiopia, Eritrea, Somalia, Pakistan and Egypt that is aimed at illegal migrants,"" Foreign Minister Radoslaw Sikorski said on X.
He linked to one of the campaign's videos that showed Polish border guards escorting individuals, as well as other images like barking dogs, stop signs, handcuffs and money.
""If someone illegally crosses the border, they will not receive asylum,"" the narrator says in Pashto.
COMMENTS","['NEGATIVE', 'POSITIVE', 'NEGATIVE']",['POSITIVE'],NEGATIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Postal Life Insurance awaits Rs48b refund,"US
.
The National Assembly Standing Committee on Privatization has directed the finance ministry to make a plan of returning Rs48 billion to Postal Life Insurance, as the company is struggling to meet its expenditures.
A meeting of the standing committee was held on Friday under the chair of Dr Farooq Sattar.
Finance ministry officials told the panel that the government had earmarked Rs14 billion over the last four financial years for the insurance firm. However, it has utilized only half the amount. The company officials told the committee that the organization
was established in 2021 on an emergency basis to get Pakistan's name removed from the Financial Action Task Force (FATF)'s grey list.
Postal Life Insurance currently possesses Rs48 billion in funds but the amount is lying with the finance ministry, which is neither returning the amount nor paying interest, the company officials told the NA panel. They added that the company failed to pay its clients their insurance claims on time due to paucity of funds.
COMMENTS","['NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['NEGATIVE'],NEGATIVE
