title,content,sentiment_chunks,title_sentiment,content_sentiment
India's role in South Asia: time to honour Delhi Agreement,"PL
The depiction of Pakistan as a perpetual antagonist gained momentum after the Kargil War
South Asia, with its intertwined histories and complex relationships, remains one of the most volatile regions in the world. The 1974 Delhi Agreement, signed between Pakistan, India and Bangladesh, was envisioned as a step towards lasting reconciliation, one that would help the nations move beyond historical grievances and forge a path toward cooperation.
However, decades later, rather than fostering regional stability, India has positioned itself as the dominant power, often at the expense of Pakistan. From perpetuating the terrorism narrative to influencing Bangladesh's policy against Pakistan, India's approach has largely contributed to the fragmentation of South Asian unity.
The latest military standoff between India and Pakistan, which erupted in May 2025, was yet another reminder of the fragile peace between the two nuclear-armed neighbours. The conflict began after India launched missile strikes on Pakistan, citing retaliation for an April 22 terrorist attack in Indian-administered Kashmir that left 26 people dead.
Pakistan denied any involvement, but India proceeded with Operation Sindoor, targeting alleged militant infrastructure deep within Pakistani territory.
Pakistan responded with Operation Bunyan-um-Marsoos, striking Indian military sites in a show of force. The skirmishes escalated further, with both sides engaging in drone warfare, marking a new chapter in their military confrontations. The conflict ended with a US-brokered ceasefire, but the damage - both physical and diplomatic - was already done.
The depiction of Pakistan as a perpetual antagonist gained momentum after the Kargil War, when India aggressively pushed the idea that Pakistan was solely responsible for regional instability. Following the 2008 Mumbai attacks, this narrative reached new heights, with India successfully framing Pakistan as a state sponsor of terrorism in international forums.
This rhetoric served multiple purposes. Firstly, it justified India's refusal to engage in third-party mediation over Kashmir, despite Pakistan's repeated calls for international arbitration. Secondly, it enabled India to diminish the legitimacy of the Kashmiri freedom movement, recasting it as a product of Pakistan-based extremism rather than a genuine struggle for self-determination. Thirdly, it created an atmosphere in India that fostered hostility, ensuring that any peace initiatives would be met with suspicion or outright rejection by the Indian public.
Beyond its own borders, India actively exported this narrative to Bangladesh, a country with historical grievances against Pakistan dating back to 1971. India played a significant role in ensuring that Bangladesh remained firmly within its sphere of influence, cultivating an anti-Pakistan sentiment that has led to strained relations between Dhaka and Islamabad.
Under Prime Minister Sheikh Hasina's Awami League government, Bangladesh increasingly aligned itself with India's position. One of the most visible manifestations of this was the controversial war crimes trials that had targeted pro-Pakistan elements.
However, the political landscape in Bangladesh underwent a dramatic transformation in 2024 when mass protests and military intervention led to the ousting of Sheikh Hasina. The uprising, fueled by public dissatisfaction with her government's authoritarian policies and economic mismanagement, culminated in her exile to India. With Hasina gone, Bangladesh has taken significant steps to mend its relations with Pakistan, marking a new chapter in regional diplomacy.
The new Bangladeshi leadership has actively sought to rebuild ties with Islamabad, recognising the mutual benefits of economic and strategic cooperation. Trade agreements have been revisited, diplomatic channels reopened, and a renewed sense of partnership has emerged. This shift has not only strengthened Pakistan-Bangladesh relations but has also challenged India's long-standing influence over Dhaka.
India's influence over Bangladesh was evident in its support for Hasina's government, particularly in the controversial war crimes trials that targeted pro-Pakistan elements. India actively encouraged Bangladesh to distance itself from Pakistan, reinforcing the idea that Pakistan was the perpetual antagonist in South Asia.
Moreover, India's economic and military dominance left Bangladesh with little room to maneuver independently. Trade agreements, defence collaborations and diplomatic pressure ensured that Bangladesh remained within India's sphere of influence, often at the expense of its relations with Pakistan. However, with Hasina's removal, Bangladesh has begun to assert its independence, signaling a shift away from India's shadow.
India's strategy of isolating Pakistan and asserting its dominance in South Asia has reached a breaking point. The recent military conflict demonstrated that Pakistan is capable of defending itself, and India's aggressive posturing has only fueled instability. The Delhi Agreement was meant to foster cooperation, not perpetuate hostility. If India truly wishes to be a responsible regional power, it must abandon its antagonistic approach and engage in genuine dialogue.
Confidence-building measures, such as reopening diplomatic channels, restoring trade relations and allowing third-party mediation, could pave the way for a more stable South Asia. Instead of using neighbouring countries as a tool to weaken Pakistan, India should encourage regional unity based on mutual respect and shared economic interests.
India's role in South Asia has largely been defined by its desire for dominance. By fueling anti-Pakistan sentiment and leveraging neighbouring countries as a tool for regional influence, India has perpetuated instability rather than fostering cooperation. The time has come for India to rethink its strategy and embrace diplomacy over aggression.
Honouring the 1974 Delhi Agreement would be a step in the right direction — one that acknowledges the shared history of South Asia while paving the way for a future built on peace and mutual respect. The region's prosperity depends not on rivalry, but on the ability of its leaders to recognise that cooperation, not conflict, is the way forward.
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE']",['POSITIVE'],POSITIVE
Police claim 69% drop in serious crimes in Lahore,"US
Lahore DIG Operations Faisal Kamran announced while releasing the comparative crime statistics
The city police have claimed a 69 per cent reduction in major crimes over the past two years, with official data indicating a decline in robberies, kidnappings and vehicle thefts.
Lahore DIG Operations Faisal Kamran announced while releasing the comparative crime statistics for May 2023-25 that the number total reported crimes had plummeted from 6,836 in May 2023 to 2,136 last month.
The most striking improvements included robberies down by 83% from 1,305 to 357, motorcycle theft by 61%, and car snatching and dacoity eliminated.
""This is a validation of our data-driven policing model,"" DIG Kamran said, crediting the success to visible policing, technological integration and a crackdown on organised crimes.
COMMENTS","['NEGATIVE', 'NEGATIVE', 'POSITIVE']",['NEGATIVE'],NEGATIVE
Brutality behind rejection,"US
The Islamabad IG has rightly called this a case of 'repeated rejections'.
Another young woman has been silenced, not by society's disapproval of her ambitions, but by its refusal to protect her from male entitlement and rage. The brutal murder of 17-year-old social media influencer Sana Yousaf in Islamabad, allegedly by a man who could not handle rejection, is a terrifying reminder that Noor Mukadam was not a tragic anomaly, but a chilling precedent.
Sana, a teenager with a growing presence on TikTok and Instagram, had the right to chase her influencer dreams without fear of intimidation or harassment. But in Pakistan, a woman's visibility often becomes her vulnerability. Her very presence in the public eye — even digitally — is seen as an open invitation by men who equate admiration with ownership.
And when denied, they turn violent. The Islamabad IG has rightly called this a case of 'repeated rejections'. But one cannot ignore the undoing of a society that fosters impunity for such acts. The problem lies not only in the crime, but in the culture that enables it. We raise boys without teaching them boundaries.
We valorise hyper-masculine behaviour and mock the emotional vulnerability. We do not talk about consent — and when women enforce it, we call them arrogant or wayward.
It is time for state institutions to implement strict online surveillance mechanisms to monitor stalking, bullying and digital harassment. We do not need to wait for the violence to spill into the physical world before we act. Digital footprints can and must be tracked, and red flags raised early before lives are lost.
Cybercrime laws do exist, but enforcement is weak and inconsistent. Social media platforms like TikTok and Instagram also lack sufficient local responsiveness. Moreover, in such cases, policing must be swift and firm. But justice cannot end at an arrest or a death sentence. It must include reform — of laws, of police procedures and, most importantly, of minds.
COMMENTS","['NEGATIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE']",['NEGATIVE'],NEUTRAL
"Military notes; Indo-Pak conflict: deterrence, pre-battle manoeuvres","PK
The future India-Pakistan conflict scene will no longer be unilateral.
We continue to discuss various aspects of the recent Indo-Pakistan military standoff.
Third, deterrence per se. More than a billion lives escaped Modi's madness in a closer than ever nuclear Armageddon. Besides the conventional side of warfare, the more dangerous 'nuclear parity' still overhangs South Asia perilously. With deterrence in 'conventional terms re-established', one hopes India under Modi would avoid another wasteful adventure of humiliation, and resume talks over the table, rather than in the skies and through brinkmanship.
The future India-Pakistan conflict scene will no longer be unilateral. It will be dictated and decided by Sino-Pak military alliance especially in collaboration with China's Western Theater Command. And this would augment deterrence for rational players on the Indian side, if any. Pakistan's Military, in South Asia's modern history, showcased the most integrated defensive strategy and real-time coordination.
And just to reiterate, in military literature, a weaker side is supposed to have won an asymmetrical contest, if it denies outright victory or the attainment of war's aims and objectives to the stronger side, which Pakistan did to a larger India.
So perceptually speaking, deterrence in the Indo-Pakistan context would, henceforth, be defined by the conventional military capabilities plus nuclear arms, and the fragility of psychological threshold on both sides, as discussed in my piece, 'India, Pakistan — redefining deterrence', printed in this space on May 22, 2025. And in Pakistan's context, deterrence would remain to be fortified by the Sino-Pakistani alliance, and the resolve of Pakistan's civil and military leadership, through Islamabad's 'quid-pro-quo Plus' strategy, to never let India prevail.
So, peace, the perusal of which now squarely lies with a mellowed but bellicose India that still pursues its intended water wars, would remain elusive if we do not recognise each other's capabilities, and do not engage each other with dignity, mutual respect and patience, and not with ignorance or arrogance.
Fourth. The Exterior Manoeuvre. Without going into the nuts and bolts of the diplomatic war, the Indian efforts to paint Pakistan into endemically bad light and as a state sponsor of terrorism, had very few takers, regionally and internationally.
Indian diplomatic overtures focused on painting itself taller by telling the world its military response was calculated and non-escalatory and that this 'new India' would respond muscularly to the so-called terrorist attacks, without wanting a wider war with Pakistan and its people. Essentially contradictory iterations.
No country condemned Pakistan for the 'alleged' terrorism; none appreciated India's 'carefully calibrated' military response. The world, contrarily, was preoccupied with the IAF's French Rafael jets being shot down by PAF's Chinese J-10C fighters using PL-15 E air-to-air missiles.
Even the US after some initial ambivalence from VP Vance had to forcefully intervene to affect a ceasefire, without giving India the blank cheque of unilateralism and brinkmanship. Russia, India's traditional friend, withheld the 'expected' diplomatic support for India. And Türkiye, Azerbaijan, Iran, Saudi Arabia, the UAE, Qatar and the entire OIC, the UNall called for restraint and then ceasefire.
Major capitals responded with studied neutrality despite India sending seven diplomatic delegations to 32 countries. Beijing's signalling and posturing in support of Pakistan were overtly clear. Washington's ceasefire appeal re-hyphenated the two nuclear neighbours, to India's great chagrin. New Delhi even refused to acknowledge any US role, for which Trump had publicly taken credit.
The paradox of Indian 'Exterior Manoeuvre' was laid bare, as to why was it accepting a ceasefire, irrespective of whether it was reached bilaterally (as India claimed) or under US interlocution (as Trump tweeted), if it had an upper hand militarily.
During the conduct of operations, fiasco after fiasco derided New Delhi's aspirations and outsized ego. From denial to acknowledging downing of planes including Rafaeles, to persistent lies on the state and social media, greatly diminished India's shine, sheen and diplomatic weight. New Delhi's comical effort to influence the World Bank under its Indian-origin president, Mr Ajay Banga, from sanctioning loan to Islamabad failed spectacularly.
The extent of India's hostility towards Pakistan permeated not only its body politics, but also its cultural elite (read Bollywood), its state behaviour; and resulted in a compulsive obsession with Pakistan, whom India's intellectual wizards proudly claim to have pushed into irrelevant ignominy.
This paradox - Pakistan's irrelevance and Islamabad being an uncomfortable reality - remains unresolved and has been damaging India's 'perceived' important power aspiration and status, without pundits realising it.
Fifth, The Inner Front. India whipped up its jingoist anti-Pakistan narrative in order to jell its inner front, silencing opposition, muzzling rationality and suppressing truth in the process. And it failed. The Modi Government had to launch Operation ""Tiranga Yatra (tricolour journey)"" for intense domestic messaging, to manipulate outcomes during Operation Sindoor.
From annihilating Pakistan to dominating South Asia as the new hegemon, its efforts, however, could not convince most of its 200 million Muslims, who constitute 10.9 per cent of its population, is the world's 3rd largest Muslim population, and the largest Muslim-minority globally.
Its illegally occupied Kashmir, the expected battle zone, simmers with hate, discontent and a resurgent anti-India sentiment, making operations and rear-area security a nightmare for the Indian Military. Assam, Christian Mizoram, Nagaland, the Naxalite insurgency in the 'Red Corridor', Khalistan Movement in Punjab and abroad, and other insurgencies drive wedges in the India Union.
Even the Brahman-dominated decision-making elite had and have reservations on the direction secular India has taken under Hindutva-laced Modi Sarkar. Indian security sector and armed forces saw removals, arrests and demotions during the stand-off; and its population is still experiencing arrests for supporting Pakistan, as per press reports.
By comparison, Pakistan's inner front jelled like it always does in a crisis with India. RAW-financed terrorism in KP and Balochistan, and the expected political uprising by some political forces against the armed forces, in hilarious formulation of Indian intelligence, failed and failed miserably. Pakistan's national will, determination, resolve and motivation across the political spectrum and across the nation was tougher and firm.
Pakistan's 'relative' demographic homogeneity compared to India's heterogeneity is always an asset and a force-multiplier. Such demographic truism also permeates Pakistan's armed forces, making it a formidable fighting machine.
Continues...
COMMENTS","['POSITIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE']",['NEGATIVE'],NEGATIVE
'Carrie' going from page to Prime,"PK
Everything we know about latest adaptation of Stephen King's first novel
Great news for horror lovers: Amazon has officially announced that it will be producing a series based on Carrie, one of Stephen King's most iconic and widely acclaimed novels, originally published in 1974.
As reported by Variety, the show is described as a ""bold and timely reimagining of the story of misfit high-schooler Carrie White (Howell), who has spent her life in seclusion with her domineering mother. After her father's sudden and untimely death, Carrie finds herself contending with the alien landscape of public high school, a bullying scandal that shatters her community, and the emergence of mysterious telekinetic powers.""
Cast and crew
The upcoming series will be directed by acclaimed horror filmmaker Mike Flanagan, known for his work on projects such as The Haunting of Hill House and Midnight Mass. Flanagan will also serve as executive producer, showrunner, and writer, alongside Trevor Macy as executive producer. The show, produced by Amazon MGM Studios, is set to premiere on Amazon Prime, adding to the platform's growing list of original horror content.
In April, in an interview with Variety, Vernon Sanders, head of television for Amazon MGM Studios, said: ""Carrie is an iconic story that has withstood the test of time with continued cultural relevance. With Mike Flanagan at the helm and the accomplished team assembled, including executive producer Trevor Macy, this provocative series is sure to captivate our global customers.""
According to Variety, ten actors have already been confirmed as series regulars. Leading the cast as the titular character Carrie White, Summer H Howell brings with her an impressive background in the horror genre. She began her acting career at the young age of eight, when she was cast as Alice in the cult horror film Curse of Chucky (2013), directed by Don Mancini.
Since then, Howell has gone on to appear in several other horror and thriller films, including Cult of Chucky (2017), The Midnight Man (2016), All Fun and Games (2023), and Spirit in the Blood (2024), among others. Her experience in the genre gives hope for a stellar performance in the lead role.
Playing her mother, Margaret White, is Samantha Sloyan who has been a recurring collaborator of Flanagan. She has starred in his shows The Haunting of Hill House, The Fall of the House of Usher, The Midnight Club, and Midnight Mass. Sloyan also appeared in Flanagan's 2016 film Hush.
Joining them are Siena Agudong as Sue Snell, Alison Thornton as Chris Hargensen, Thalia Dudek as Emaline, Amber Midthunder as Miss Desjardin, Josie Totah as Tina, Arthur Conti as Billy, and Joel Oulette as Tommy.
According to Variety, the Carrie series was first reported to be in development at Amazon in October 2024. After several months of planning and pre-production, the show officially received the green light in April 2025. Amazon has ordered a total of eight episodes for the first season, with production scheduled to begin in Vancouver, Canada, in the coming weeks.
A rich legacy
King's Carrie has previously been adapted multiple times. The first adaptation was directed by Brian De Palma in 1976, starring the award-winning actor Sissy Spacek. A sequel to the 1976 film, titled The Rage: Carrie 2, was released in 1999. It was directed by Katt Shea and featured Emily Bergl in her debut role.
In 1988, a musical theatre adaptation by the Royal Shakespeare Company was performed five times at the Virginia Theatre before closing. This proved to be one of Broadway's most infamous failures, losing $7 million. However, in 2012, an off-Broadway revival of Carrie as a musical was staged to more favourable reviews. Later, in 2018, the popular television series Riverdale aired an episode inspired by the musical.
In 2002, another adaptation of Carrie was produced as a television film, also filmed in Vancouver. It was created by Trilogy Entertainment Group and MGM Television, intended as a pilot for a potential TV series.
In 2013, Carrie was adapted again for film, this time directed by Kimberly Peirce. This version featured a star-studded Hollywood cast, with Chloë Grace Moretz as the titular character and Julianne Moore as Margaret White. The ensemble also included Judy Greer, Portia Doubleday, Gabriella Wilde, Ansel Elgort, and Alex Russell.
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE']",['NEGATIVE'],POSITIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
The UK is open for business,"US
The UK and Pakistan share a longstanding and evolving trade partnership
Kickstarting economic growth is the number one mission of the UK government. We know that this is also a goal that many of our partners, including Pakistan, share and one that can only be delivered by working together.
Britain has always been an outward-looking trading nation with an open and stable economy. But with three new trade deals signed in May, we have taken a major step forward in driving prosperity at home and overseas.
An economic deal with the Trump administration will reduce tariffs across a range of sectors, from steel and aluminium to automotives, and cut costs for businesses operating here in the UK.
And a new agreement between the UK and the European Union will give more certainty to businesses, providing opportunities for companies to expand their operations with some of the UK's closest neighbours.
Our message is simple. We are a trusted partner ready to negotiate constructively. We have one of the largest economies in the world, with cutting-edge businesses, brilliant universities and a talented workforce. And we have an innovative economy embracing new trends like AI.
The UK and Pakistan share a longstanding and evolving trade partnership rooted in mutual opportunity and trust. With over £4.7 billion in bilateral trade, the UK is Pakistan's largest trading partner in Europe.
And it's not just foreign leaders and decision-makers that recognise this. A recent survey of global CEOs ranked the UK as the second most attractive country to invest in. In March, companies from around the world, including Blackstone, Amazon and DP World, collectively committed to invest £63 billion in the UK at the Global Investment Summit.
It is as a result of this work that just last month, the UK's growth rate was upgraded to the highest within the G7.
And we're building on these strengths. Earlier this year the UK announced £13 billion of capital investment over the next five years to deliver the projects needed to catalyse private investment, boost growth and drive forward the UK's modern industrial strategy. This follows £100 billion of capital investment announced last autumn.
We are also ripping up unnecessary regulation to cut the administrative costs on business by a quarter over the next five years. And soon we will unveil a new Industrial Strategy which will give businesses even greater confidence to invest and expand in the UK.
There are already several businesses from Pakistan in the UK, including firms like Abacus. A leading tech consulting firm, Abacus exemplifies the potential of cross-border enterprise, showcasing how Pakistani innovation and British collaboration can fuel shared prosperity. But with the offer of certainty, stability and simplicity, we will give more firms the confidence to expand and invest in the UK.
The US and EU both recognised the huge potential of a closer trading relations with the UK under this government. And they are not the only examples. The UK is now an active member of CPTPP after becoming the first European member earlier this year. We're also building new partnerships with the emerging markets of the future.
These deals are just the beginning. Our diplomats and trade negotiators have sent a signal — the UK is open for business.
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE']",['POSITIVE'],POSITIVE
Spain target Nations League defence,"US
They are aiming to become the first side to defend the Nations League trophy
Spain are aiming to become the first side to defend the Nations League trophy, with Luis de la Fuente's side going from strength to strength on the international stage ahead of next year's World Cup. The coach enjoys recalling La Roja's triumph at the 2023 tournament, which was an early sign that a young Spain side were heading back to the top.
It proved the springboard to Euro 2024 glory and De la Fuente wants to continue Spain's resurgence by retaining it this summer in Germany.
It would bode well ahead of the 2026 World Cup in the United States, Mexico and Canada next summer where Spain will be among the favourites.
They face France in the Nations League semi-finals in Stuttgart before a potential final against Germany or Portugal.
""We attach enormous importance to it – it's almost more difficult than a European Championship, and we want to be the first team to win it twice,"" De la Fuente told reporters last week.
""We want to continue competing at the highest level with these teams.""
After European Championship wins in 2008 and 2012, sandwiching their World Cup 2010 triumph in South Africa, the Spanish national team slumped.
Poor outings at the Russia and Qatar World Cups started to fade from memory, though, as De la Fuente's side beat Italy and Croatia to win the Nations League.
It helped him on a personal level too, with many doubting his credentials and blaming him for an embarrassing defeat by Scotland in Euro 2024 qualifying.
The Scots beat De la Fuente's Spain in March 2023 in what was their last competitive defeat, 23 matches ago.
Spain beat Italy, Germany and France on the way to the Euro 2024 final, where they got the better of England to claim their first major trophy for 12 years.
The worrying thing for the rest of the world is that De la Fuente's Spain team remains hungry, with many players yet to reach their peak.
The side is led by Barcelona's teenage winger Lamine Yamal, who turned 17 on the eve of the Euro final, and on the opposite flank Athletic Bilbao's Nico Williams, 22, also has his best years ahead of him.
Barcelona midfield maestro Pedri, 22 as well, pulls the strings, while there are emerging talents in other areas including Porto striker Samu Aghehowa and new Real Madrid signing Dean Huijsen.
Isco's return
Despite a focus on younger players, De la Fuente showed he is not stubborn by turning to Real Betis midfielder Isco.
After a superb season in which the former Real Madrid playmaker took the Andalusians to the Conference League final, the 33-year-old finally got the call he craved.
Some said De la Fuente should have given Isco a chance last summer but the coach was proven right as his team went on to win the Euros.
""He's going to add a lot – if we had any doubts, he wouldn't have been here,"" said De la Fuente.
""He could have been at the Euros, or not, but those who had to be there, were there.""
Isco's presence gives Spain even more depth in a midfield packed with quality, and one which is still without Manchester City's Rodri Hernandez who has yet to return to action after missing most of the season injured.
""In Spain, we are privileged to have many very good footballers,"" De la Fuente said during the Euros.
""I think they are the best players in the world for many reasons.""
In almost every position the coach is blessed with multiple strong options, with the team perhaps only short of one elite striker – although it has not held them back.
Aghehowa, 21, could develop into that player, although De la Fuente ran through all of his possible options there, including veteran Alvaro Morata, Dani Olmo as a false nine, or Mikel Oyarzabal, who scored the winner against England.
""This is a team, and in that team, everyone contributes their bit to make a stronger, more solid group,"" said De la Fuente.
""Samu is fantastic, Alvaro, Mikel, Dani... we can play in many ways with different players and that is exactly what our strength is.""
COMMENTS","['POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE']",['NEGATIVE'],POSITIVE
Cashless economy at crossroads,"SG
PM to choose between reward or penalty to curb informal economy
As Pakistan's informal economy swells to $140 billion, Prime Minister Shehbaz Sharif faces a choice between incentivising people by offering lower taxes to encourage digital payments or imposing higher costs on cash transactions for government payments and utility bills.
An expert committee on the cashless economy, made up of public and private sector representatives, recently submitted recommendations to the PM. Their approach centres around a ""carrot and stick"" policy.
If the PM chooses incentives, he will have to lower sales tax and petroleum levies. But if he opts for penalties, people will pay more when making payments to the government or buying fuel and other utilities. Finance Minister Muhammad Aurangzeb is set to announce the new budget on June 10. It will be clarified whether the government will focus on incentivising digital payments or punishing cash use. Previous punishment policies targeting non-filers with higher taxes have failed to deliver results. ""It is up to the government whether to incentivise digital payments or punish cash users,"" said a committee member in background talks.
The committee offered four key recommendations, presenting both options to the government. The first calls for mandating acceptance of digital payments by empowering district authorities to enforce the use of the RAAST QR code — an instant payment method — at all retail outlets.
Local authorities should ensure the presence of RAAST QR codes and penalise merchants for inactivity. The committee expects that within a year, one million active RAAST QR codes could be operational if enforced effectively. ""The solution lies with QR codes, not credit cards,"" said a committee member. ""There are only 2 million credit cards and 50,000 card readers, but Pakistan has five million retail outlets.""
Merchants charge 1.5% fees on credit card payments, but only 1% on RAAST payments, the member added. The committee estimated that the informal economy makes up 35% of the economy, translating to $140 billion today. The government must choose to incentivise or punish, but past experience shows punishments don't work.
One major recommendation is to reduce the sales tax on digital payments from 18% to 5%, along with a three-year tax audit break for digital transactions. The committee also proposed eliminating customs duties on digital payment-related equipment. They believe these incentives could double digital transactions within six months.
When the committee approached the Federal Board of Revenue (FBR) about tax cuts, the FBR said the International Monetary Fund (IMF) would oppose it. However, the IMF told the committee it had no objection and threw the ball back in FBR's court. On the punishment side, the committee suggested making cash payments more expensive. They recommended imposing a surcharge on over-the-counter government payments, capping cash-on-delivery payments, and removing sales tax incentives on cash-on-delivery.
One punitive proposal is to increase petrol prices by 1% or Rs3 per litre for cash payments. With 12,000 petrol stations nationwide and 70% of customers on motorcycles, this could be a significant deterrent.
The committee believes the punishment policy could cut cash circulation by 2% of GDP, about Rs2.6 trillion. It also suggested that all government paymentssuch as those to Benazir Income Support Programme (BISP) beneficiaries or contractorsshould be made digitally. This would require mandatory installation of RAAST QR codes at all government payment points within six months and creating digital wallets for every government disbursement, starting with BISP. If successful, this could add 20 million new bank accounts within 18 months, the committee said. The government introduced the non-filer category in 2013 to broaden the tax base. However, over 12 years, it has become a tool to extract higher taxes rather than expand the base.
Utility bills are also being used to collect taxes, hurting sectors like telecommunications.
The telecom industry demands exemption from withholding tax deductions, similar to the banking sector. Telecom companies face deductions on thousands of transactions, such as electricity bills for cell towers. This raises compliance costs and administrative burdens. Verifying tax claims on these bills is also difficult for authorities, adding to the operational load.
The industry argues withholding tax on telecom services should not be treated as a minimum tax, which applies even during loss-making years. Current harsh recovery measures disrupt business and undermine taxpayer confidence. CMOs pay advance or withholding tax on hundreds of thousands of transactions, including electricity bills and imports. Maintaining documents and handling audits demand significant effort and cause verification issues.
They want the 4% withholding tax on telecom services to be adjustable rather than a minimum tax. The shift from adjustable income tax to minimum tax has effectively turned income tax from direct to indirect, the industry said. The sector also demands removal of the 10% advance income tax on auctions or renewals of telecom licenses. This advance tax raises business costs and capital expenses, hindering 4G/5G expansion and rural coverage.
Further, the telecom sector wants the 75% advance tax on non-filers abolished, along with measures like SIM blocking, which have not produced meaningful results.
Operators would need costly and time-consuming billing system upgrades to manage two tax rates. Since telecom services are essential, SIM blocking could deprive people of basic access. In April 2024, mobile operators were ordered to block SIM cards of over 500,000 non-filers. The Finance Act 2024 increased the advance income tax rate for non-filers to 75%. Additionally, non-compliance carries penalties of Rs50 million for the first offence and Rs100 million for subsequent violations. These punishments have failed, with the FBR shifting responsibility onto others.
The withholding tax under Section 236 rose from 10% to 15% in the 2021 supplementary Finance Act. It applies only to tax filers, yet most telecom consumers are non-filers. The industry wants this rate reduced to 12.5% in the next budget.
COMMENTS","['NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE']",['NEGATIVE'],NEGATIVE
Doctors reject imposition of professional tax,"US
Medics bodies demand withdrawal of 'oppressive' levy
Various medics associations in Khyber-Pakhtunkhwa have rejected professional tax imposed on doctors by the provincial government of Pakistan Tehreek-e-Insaf (PTI).
President of the Pakistan Doctors Council K-P chapter, Dr Majid, addressed a joint press conference at the Peshawar Press Club Wednesday alongside leaders from doctors' organizations, including Dr Janbaz Afridi of the Peoples Doctors Forum, Dr Adil of the Young Doctors Association, and Dr Wasim of the Allied Doctors.
Dr Majid strongly condemned the provincial government of PTI for imposing an oppressive professional tax on doctors. He said the Doctors Council categorically rejects this tax and has formed a three-member committee to negotiate with the government for its immediate withdrawal. He also demanded the cessation of ongoing actions related to this tax.
The council called on the government to immediately revoke letters issued by the Excise and Taxation Department directing deductions from doctors' salaries, particularly concerning finance directors and accountants of Medical Teaching Institutes (MTIs) in K-P.
He further demanded salary increases for all doctors in the province, including house officers, trainee medical officers, and medical officers, in keeping with the current inflation rate in the provincial budget.
He urged the Health Care Commission to immediately stop imposing heavy fines on doctors under the pretext of registration and to develop a proper, consultative procedure for such matters.
Highlighting ongoing harassment of doctors over drug sales licenses, Majid demanded a halt to these practices and urged the government to implement court rulings favoring doctors in this regard.
The president criticized the Public Service Commission (PSC) for not advertising any job vacancies since 2017, calling it a grave injustice to aspiring medical professionals. He demanded that job postings resume immediately to recruit new doctors.
COMMENTS","['NEGATIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['NEGATIVE'],NEGATIVE
