title,content,sentiment_chunks,title_sentiment,content_sentiment
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Iran-Israel conflict: what it means for Pakistan,"PL
The group is headed by Assa bin Saad bin Atef al-Awlaki, who posted a chilling video
The ongoing conflict between Iran and Israel has taken a heavy human toll in Iran and some in the Israel. How could this conflict affect Pakistan? Iran, after all, is one of the four neighbors of Pakistan. The other three are Afghanistan, China and India. It is only with China that Pakistan has good relations. It is cooperating with Beijing in several areas, including defence production. Pakistan is also partnering with China to build a regional communication network. That Israel was well informed about the targets that it hit resulted in the deaths of Mohammad Bagheri, the chief Iranian military staff and three other top military generals. Israel has also assassinated two top nuclear scientists.
It is obvious that the Jewish state was helped by those Iranian who oppose the clerics' regime in their country. As one observer put it, when the senior people in Tehran meet, you can't be sure whether the person sitting next to you works as a spy for Israel. When the Israelis began their campaign against Tehran on June 13, it was obvious that the targets hit were well selected, with information coming from those who worked as spies for the Jewish state. Video footage from Tehran confirmed the precision of the attacks – showing one floor of an apartment building hit, for example, but not others. The hit apartment housed the person the Israelis wished to kill.
Even after the devastating attacks in Lebanon on Hezbollah – a Tehran ally that had a large supply of armaments meant to be used against Israel – Tehran has not lost all of its allies. The Al-Qaeda affiliate in Yemen may pose a special danger for those who are supporting Israel and the latter's activities in the Middle East. It is likely to pose a special danger to Israeli supporters.
The group is headed by Assa bin Saad bin Atef al-Awlaki, who posted a chilling video. The video named several people who should be targeted for assassination. These included President Donald Trump, Vic President JD Vance, Defense Secretary Pete Hegseth and former DOGE chief Elon Musk. ""There are no red lines after all that has been happening to our people in Gaza,"" he said in the message. According to The Jerusalem Post, an Israeli newspaper, Awlaki urged all Muslims in America and Europe to make sure there is ""not a single safe place in the world for Jews"".
David Ignatius, who contributes to The Washington Post, wrote in his column published by the newspaper on June 14, 2025, ""Israel's tactical mastery is unquestionable. But in this latest assault on Iran – as in earlier campaigns in Gaza, Lebanon, Syria and Yemen – Israel appears to have given relatively little thought to 'its day after' ambitions. Does Israel seek regime change in Iran, to permanently bend Iran away from its revolutionary course? That appears to be Netanyahu's message in a June 13, 2025, televised pitch to the Iranian people. 'This is your opportunity to stand and let your voices be heard,' he said. But there is a danger of overreach. Netanyahu may have to settle for a strike that will neuter the Iranian nuclear threat for a few more years but set up a future conflagration.""
Gerry Shih and Susannah George, who also cover the Middle East for the Post, wrote that ""the Israeli attack on Iranian nuclear and military sites, along with the targeted killing of at least a dozen senior military officials and scientists, represents the latest sign of Israel's shift away from a decades-old policy favoring containment, restraint and short wars.""
They continued with their analysis by highlighting that ""in the past 20 months, the Israeli Defense Force has occupied territory and carried out frequent airstrikes in neighboring Lebanon and Syria, reflecting what Israeli military officials say is a new border security doctrine. Netanyahu has vowed not to cease the military campaign in Gaza until he achieves total victory over Hamas, displaying tolerance for prolonged conflicts that runs against traditional Israeli strategic thinking.""
Aaron David Miller, who has advised seven US secretaries of state on the Middle East, said there has been a shift within the Israeli security establishment which now appears comfortable with leading Israel as a ""regional hegemon"".
In 2020, for instance, Netanyahu declined to participate in a US operation that resulted in the assassination of Maj Gen Qasem Soleimani, Iran's top military commander. Netanyahu ""was very risk averse, very reluctant to use force,"" said Miller who dealt with Netanyahu over a long career at the State Department. ""He was always one step forward, two steps to the side, one step back. Now he's become risk ready.""
Since Netanyahu lunched the operation known as the 'Rising Lion', he is not in favour of the Trump administration and Iran to return to the negotiating table. After carrying out operations in Gaza and Lebanon, Israel has blocked the new government in Syria which assumed control in December 2024 from establishing itself as a military power. It has launched hundreds of airstrikes on strategic stockpiles and demanded that Syrian President Ahmed al-Sharaa demilitarise an entire region running south of Damascus to the Israeli border.
According to Danny Citrinowicz, a former military Israeli military intelligence official who specialises in Iran and the regional allies, ""when you don't have Syria, when Hamas is nonexistent, and without Hezbollah, you can do almost whatever you want."" But he warned that Israel had not done enough long-term planning beyond the immediate use of force. ""So we expand attacks into Iran's energy sector, so we fight a war of attrition that never ends. And then what?"" Miller, the former State Department official, said that Netanyahu had demonstrated Israel's military superiority and his willingness to use it, but his Arab neighbours wanted to see him turn that into lasting stability. ""The more Netanyahu is on a course in which he's not going to translate his escalation dominance into more stable arrangements or peace deals, the more wary the neighbors will become.""
China is working with Pakistan to develop plans to expand CPEC, the China-Pakistan Economic Corridor, into Afghanistan and Iran. Eventually the road network would extend to the countries of Central Asia that were once part of the dissolved Union of Soviet Socialist Republics, the USSR. This would make it possible for China to tap and transport minerals from the area to feed its rapidly expanding industrial system. With the possible participation of the United States in the ongoing Iran-Israel conflict, these plans would be disrupted.
COMMENTS","['NEGATIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['POSITIVE'],NEGATIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Timely energy projects 'top priority',"US
The Secretary added that timely completion of these projects within the stipulated timeframe is a major challenge.
Under the Good Governance Roadmap Program, ensuring merit and transparency in institutional matters remains the top priority. The biggest challenge in this regard is completing ongoing energy projects within the stipulated timeframe. In line with the Chief Secretary's directive, all officials must play their part in operationalizing e-tendering, e-payment, and one-window service platform.
These views were expressed by Secretary Energy and Power Muhammad Zubair Khan in a meeting attended by the heads of PEDO, K-P Oil and Gas Company, Electric Inspectorate and Energy Planning Directorate regarding the Khyber-Pakhtunkhwa Good Governance Roadmap. Additional Secretary Admin Shoaib Khan, Additional Secretary Power Anwar Khan Sherani and other senior officers also attended the meeting.
Meanwhile, the Secretary while emphasizing the strict implementation of the guidelines set for ongoing energy projects, said that currently work is progressing rapidly on Balakot, Lawi, Gorkin Matiltan, Gabral Kalam, and Madyen Hydropower projects.
The Secretary added that timely completion of these projects within the stipulated timeframe is a major challenge.
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE']",['POSITIVE'],POSITIVE
Varsity victory,"US
18 Pakistani universities are now globally recognised for their quality education and environment
The QS World University Rankings is a prestigious international ranking of the world's top universities, released annually by UK-based higher education analytics firm Quacquarelli Symonds (QS). Last year, 10 Pakistani universities made the cut among approximately 1,500 universities from more than 100 countries. Impressively, this year, 18 Pakistani universities have joined the ranks of globally acknowledged and celebrated varsities – almost double the number. The inclusion of our universities in this list is a moment of pride for the higher education sector and its continued efforts towards producing the educated cream of the country.
Among the 18 Pakistani universities included in the rankings, Quaid e Azam University, Islamabad, ranks highest at 354 globally, whereas The Islamia University of Bahawalpur falls within the 1,401-1500 range. Without doubt, their placement is a noteworthy achievement. However, it does raise important questions about the shortcomings in our higher education system that deters these universities from breaking into the top 100.
The universities in the QS list are ranked according to several indicators including academic reputation, employer reputation, citations per faculty and faculty presence. While Pakistani universities do their best to prepare their students for a well-rounded segue into the real world, they often fall short of advancing original research and publications in high-impact journals.
The country's field of academia is no stranger to corruption at the top and hassle-free publication sometimes restricts itself to upper class circles, making academia inaccessible for a lot of academics. Moreover, universities often lack government funding crucial for modern facilities and advancements. This delay is complemented with outdated curriculums that do not always reflect what the future demands.
Despite these gaps and roadblocks, 18 Pakistani universities are now globally recognised for their quality education and environment, and they will hopefully pave the way for even stronger performance in the future.
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE']",['POSITIVE'],POSITIVE
Bublik produces masterclass to win Halle final,"US
He was in superb form to beat former world number one Medvedev
Kazakhstan's Alexander Bublik beat Daniil Medvedev for the first time in his career to claim the Halle title on Sunday, winning 6-3 7-6(4) to continue his resurgence.
Bublik had lost his previous six meetings against Russian Medvedev, winning only one set in the process, but produced a superb exhibition of grass-court tennis to end that streak.
Former world number one Medvedev has now lost his last six Tour-level finals. So often the showman, Bublik showed his new maturity with a calm display in the final as he continued the form that saw him beat world number one Jannik Sinner in the last 16 this week.
He broke the Medvedev serve in the eighth game of the first set and then held his own with ease to move ahead. Medvedev had a set point when Bublik served at 4-5 in the second set but could do nothing as his wily opponent feathered a delicate drop shot from behind the baseline. Third seed Medvedev then led 4-1 in the tiebreaker but the unseeded Bublik stormed back to complete a memorable week.
Vondrousova beats qualifier Wang to win Berlin Open
Former Wimbledon champion Marketa Vondrousova needed three sets to subdue Chinese qualifier Wang Xinyu on Sunday and win the Berlin Open title, completing an improbable run to her first trophy since her London triumph two years ago.
The 25-year-old Czech, who had dropped to 164th in the world after an injury-plagued 12 months, was playing her first final since winning Wimbledon in 2023.
She was made to work hard for a 7-6(10) 4-6 6-2 victory and even had to save six set points in the tight first-set tiebreak. Her win comes a week before the start of Wimbledon where Vondrousova will now be a force to be reckoned with.
""Nice to see a full crowd. I really enjoyed the tennis week and the support,"" the Czech said after winning her third career title. ""Congrats on a great week, you played an amazing match,"" she said, addressing Wang.
""It was an amazing week we had everything we needed. ""I feel like it could not have been better for us here. We were all working really hard. We came here to try and win the first match. So very happy,"" Vondrousova added.
Wang, who had to battle through the qualifying process and then beat four top-20 players to reach her first-ever tour final, kept causing problems with her pinpoint accuracy as she fired repeated baseline winners.
Vondrousova's serve looked unbreakable until Wang earned her first break point in the seventh game, breaking Vondrousova who slipped and hurt her ankle on that point.
But the Czech came back to snatch the tie-break after the 23-year-old Wang had wasted six set points.
The 23-year-old showed few nerves in her maiden singles tour final and levelled after breaking her opponent once in the second set. But Vondrousova, who beat Australian Open champion Madison Keys in the first round and world number one Aryna Sabalenka in the semi-finals in Berlin, raced back with two breaks of her own to go 4-1 up in the decider.
She then played a perfect service game at 5-2, with a superb dropshot, a crosscourt backhand winner and a powerful forehand that forced an error by Wang on matchpoint number one.
COMMENTS","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE']",['POSITIVE'],POSITIVE
Iran-Israel conflict could impact Pakistan: Masood,"US
Former AJK president fears war may trigger refugee influx into Pakistan
Former president of Azad Jammu and Kashmir (AJK) and senior diplomat Masood Khan has warned that the escalating Iran-Israel conflict could have grave and far-reaching implications for Pakistan's national security and stability.
In a series of media interviews, Khan expressed deep concern over the widening scope of hostilities between Iran and Israel, cautioning that a prolonged war could trigger a new wave of refugee influx into Pakistan, similar to the aftermath of the Afghan conflict.
""If the war drags on, there is a strong possibility of a mass exodus of Iranian refugees towards Pakistan,"" he stated, noting that such a scenario would strain Pakistan's resources and social fabric.
Khan emphasized that a potentially more dangerous outcome would be the weakening of the Pakistan-Iran border, making it vulnerable to exploitation by anti-state elements.
""Groups backed by hostile foreign powers, especially Indiasuch as BLA, BLF, and other proxies — could infiltrate into Pakistan unchecked, posing a serious threat to our internal security,"" he warned. Touching on the strategic motives behind Israel's military actions, Khan pointed out that Tel Aviv has made targeting Iran's nuclear infrastructure.
""Israel has already attacked nuclear facilities in Natanz, Isfahan, Fordow, and other key locations where uranium enrichment and missile programmes are believed to be based,"" he said. ""They claim to have neutralized nearly 40 percent of Iran's air defense systems.""
Khan asserted that Israel is pressuring the United States to either intervene directly in the conflict or allow Israel to use tactical nuclear weapons against Iran.
""Israel is lobbying for the use of bunker-buster bombs or subterranean nuclear strikes that, according to them, would limit radioactive fallout to underground areas,"" he explained.
COMMENTS","['NEGATIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE']",['NEGATIVE'],NEGATIVE
Title not found,Content not found,['NEGATIVE'],['NEGATIVE'],NEGATIVE
Pro-Palestinian activist set free on US judge's orders,"US
Columbia student Mahmoud Khalil faces possible deportation
A federal judge ordered the Trump administration on Friday to release Mahmoud Khalil, a Columbia University student who became a leader of pro-Palestinian campus protests, reported AFP.
Khalil, a legal permanent US resident who is married to a US citizen and has a US-born son, has been in custody since March facing potential deportation.
District Judge Michael Farbiarz ordered Khalil's release on bail during a hearing on Friday and he will be allowed to return to New York while his deportation case proceeds.
""After more than three months, we can finally breathe a sigh of relief and know that Mahmoud is on his way home,"" his wife, Michigan-born dentist Noor Abdalla, said in a statement.
""We know this ruling does not begin to address the injustices the Trump administration has brought upon our family and so many others the government is trying to silence for speaking out against Israel's ongoing genocide against Palestinians,"" added Abdalla, who gave birth to the couple's first child while her husband was in detention.
Amol Sinha, executive director of the American Civil Liberties Union of New Jersey, which is among the groups representing Khalil, welcomed the release order.
""This is an important step in vindicating Mr Khalil's rights as he continues to be unlawfully targeted by the federal government for his advocacy in support of Palestinian rights,"" Sinha said. ""We're confident he will ultimately prevail in the fight for his freedom.""
Since his March 8 arrest by Immigration and Customs Enforcement agents, Khalil has become a symbol of President Donald Trump's campaign to stifle pro-Palestinian student activism against the Gaza war, in the name of curbing anti-Semitism.
At the time a graduate student at Columbia University in New York, Khalil was one of the most visible leaders of nationwide campus protests against Israel's war in Gaza.
Following his arrest, US authorities transferred Khalil, who was born in Syria to Palestinian parents, nearly 2,000 kilometers (1,242 miles) from his home in New York to a detention centre in Louisiana, pending deportation.
Secretary of State Marco Rubio has invoked a law approved during the 1950s Red Scare that allows the United States to remove foreigners seen as adverse to US foreign policy.
Rubio argues that US constitutional protections of free speech do not apply to foreigners and that he alone can make decisions without judicial review.
Hundreds of students have seen their visas revoked, with some saying they were targeted for everything from writing opinion articles to minor arrest records.
COMMENTS","['NEGATIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE']",['NEGATIVE'],POSITIVE
Over 250 Air India crash victims identified,"US
Air India plane smashed into a residential area of Ahmedabad
More than 250 people killed in an India plane crash have been identified through DNA testing, a hospital official said Sunday as specialists near a final toll for one of the worst air disasters in decades.
All but one of the 242 people on board the Boeing 787-8 Dreamliner were killed when the Air India plane smashed into a residential area of Ahmedabad, where at least 38 more died.
Such was the level of destruction that more than two dozen believed killed remain unidentified 10 days after the jet came down.
""The results of the DNA sample matches for 251 have arrived,"" said Rakesh Joshi, medical superintendent at Ahmedabad's civil hospital.
The remains of 245 of them have been handed to relatives and include 176 Indians, 49 British, seven Portuguese, one Canadian, and 12 identified publicly only as non-passengers.
""In my opinion, the DNA matching process will soon be completed,"" Joshi said in a video message.
""We are with the remaining families who will be informed by phone as soon as possible,"" he added.
The remains of 26 victims were flown to their families, including 10 to the United Kingdom.
COMMENTS","['NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['POSITIVE'],NEGATIVE
