title,link,content,sentiment_chunks,title_sentiment,content_sentiment
Pakistan has very strong leadership: Trump,https://www.thenews.com.pk/print/1319015-pakistan-has-very-strong-leadership-trump,"WASHINGTON: U.S. President Donald Trump has claimed he played a key role in de-escalating tensions between nuclear-armed neighbors India and Pakistan during his time in office, asserting that his diplomatic efforts helped avert a potentially catastrophic conflict. He described Pakistan’s leadership as very strong, acknowledging that some might disagree, but affirmed, “that’s just the reality”.
Speaking at a White House event alongside the German Chancellor Friedrich Merz, Trump recounted how India and Pakistan tensions were “getting close to being out of hand,” and said he intervened by speaking directly to leaders on both sides. “I spoke to talented people on both sides. Very good people on both sides,” Trump said. “I told them we’re not going to deal with you if you go shooting each other and whipping out nuclear weapons.”
Trump claimed he used the leverage of trade negotiations to pressure both countries into stepping back from the brink. “If you’re not going to do that, we’re not doing trade deals,” he said, adding, “I got that war stopped.”
The president praised the Indian and Pakistani leadership, noting that both sides were “well represented” in talks. “The leader of India, a big guy, was here a few weeks ago and we had great talks — and Pakistan, likewise,” President Trump said. “They have very strong leadership. Some people may not like me saying that, but it is what it is. And they stopped the war. Now will they give me credit? They won’t give me credit for anything. But nobody else could have stopped it. I was proud of that.”
Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE']",['POSITIVE'],POSITIVE
BUDGET FY26: A transformative path for FY26,https://www.thenews.com.pk/print/1319016-budget-fy26-a-transformative-path-for-fy26,"As FY25 closes and the nation awaits the Federal Budget FY26, a profound anticipation hangs in the air. The weight of expectation rests heavily on authorities, for this budget can be more than mere numbers – it can be a bold, transformative blueprint, seizing the opportunity to reshape our macro-fiscal framework.
Federal Budget FY26 must design Pakistan’s fiscal framework based on a trio of foundational pillars: Good for Growth Reforms, Comprehensive Expenditure Reforms and Equitable Domestic Resource Mobilization (DRM) Reforms. This integrated approach can create a fertile ground for private sector investment, as the state’s footprint recedes, planting seeds of sustainable growth and widespread prosperity. This blueprint should guide the nation toward a future where DRM is a shared journey, fostering a fairer, simpler and more business-friendly Pakistan.
Good for Growth Reforms: In the context of Federal Budget FY26, Good for Growth Reforms must focus on measures that stimulate economic activity, attract investment (both domestic and foreign), enhance productivity, improve competitiveness, and promote sustainable development, while addressing underlying structural imbalances.
Formalising Pakistan’s economy is crucial, yet progress has been limited as a large cash economy, estimated at nearly Rs9,400 billion, continues to thrive. Pakistan must shift from punitive measures to a strong, incentive-based approach to change this. A key step is promoting digital government payments, such as poverty alleviation funds, through RAAST/(Inter-Bank Fund Transfer) and digital wallets in FY26, which can significantly enhance financial inclusion. To further embed this shift, authorities should aim for a large number of active RAAST QR codes, debit and credit cards, supported by a preferential GST rate of 10 per cent for digital transactions versus 18 per cent for cash. This clear choice will actively guide the economy towards formal participation.
National Tariff Reform, a critical lever for Pakistan’s economic competitiveness, can systematically dismantle the intricate web of Additional Customs Duties and Regulatory Duties and reduce the myriad of customs duty slabs. This strategic recalibration will lower input costs, help industrial growth, curb the scourge of smuggling, and cultivate a transparent and fairer trade landscape.
To boost formal business compliance, Budget FY26 should boldly incentivise registered sales tax filers and companies to also file income tax returns, fostering a culture of comprehensive tax compliance. Simultaneously, it must bring large sectors like wholesale, retail, real estate and services into the tax net by eliminating the non-filer category to ensure a broader and fairer revenue base. Prioritising economic documentation and digitisation, the budget should leverage data analytics and a robust track-and-trace system to expose hidden economic activity and clamp down on illegal trade, strengthening fiscal transparency and revenue mobilisation. Embracing the ‘Keep It Simple and Straightforward’ principle, Budget FY26 should eliminate distortions, simplify tax procedures and digitise business licensing and registrations. Through these integrated reforms, the budget will foster predictability and transparency, transforming the tax and trade system from a source of friction into a catalyst for economic growth, unlocking untapped investment potential and formalisation across all sectors. The climate and clean energy nudge must also come from a good incentive-based strategy.
Comprehensive Expenditure Reforms: Recognising that expenditure reform is often seen as austerity, Budget FY26 must present a clear vision focused on two goals: radically transforming current and development spending for efficiency and optimising resources; and elevating social welfare from handouts to transformative initiatives that promote distributive justice, job creation and lasting impact.
Expenditure reforms should systematically reduce unnecessary federal government expenditure on devolved subjects, streamlining responsibilities and empowering provinces. A key element involves sharing the projected Rs715 billion poverty alleviation expenditure with provincial governments, ensuring more localised and effective outreach. Direct subsidy management should also undergo a fundamental overhaul, transitioning from an inefficient electricity utilisation-based system to a truly equitable income-based subsidy regime, ensuring support reaches those who need it most, without distorting market signals.
Crucially, substantial savings in markup spending will accrue through a reduced policy rate, which can be complemented by debt reprofiling efforts, yielding hundreds of billions of rupees. A comprehensive approach further entails a swift move to a Treasury Single Account for optimising cash flows, completing a contributory pension system and monetising perks associated with housing and cars for government officials -- steps vital for modernising public finance. Finally, the budget must prudently accommodate necessary upward revisions in defence spending, balancing fiscal discipline with national imperatives. Equitable DRM Reforms: Let equity, both vertical and horizontal, be the unwavering compass guiding our DRM, a hallmark etched into the very soul of our tax policy. Our vision must be one of expansive embrace, broadening the tax base not through coercion, but by cultivating a culture of shared responsibility and voluntary compliance.
We must dare to lower the burden of tax rates, recognizing that a lighter load encourages greater participation. Thoughtful withdrawal of the often cumbersome web of major withholding provisions will pave the way for fairer and more direct revenue collection at both federal and provincial levels. A key element is the gradual reduction of the corporate tax rate to a regionally competitive level over five years and eliminating the super tax within three, fostering long-term business investment and igniting growth.
Budget FY26 should reform the Personal Income Tax to ease inflationary pressures, particularly for the middle class. Avenues include increasing the taxable income threshold to Rs1.0 million for all individuals, appropriate slab reductions for higher incomes, and abolishing the 10 per cent salary surcharge within two years -- enhancing disposable income and demand.
In indirect taxation, a phased reduction of sales tax on goods to 12-15 per cent will align with regional averages, enhance competitiveness and curb inflation. The budget must include concrete steps for expediting the harmonisation of federal and provincial sales tax rates, eliminating distortions and complexities for easier compliance and more effective DRM.
Authorities should signal intent to move beyond a reliance on regressive transactional taxes -- levied on economic activities like sales, imports or services -- to a more equitable system that taxes actual income and newly created wealth.
Finally, Budget FY26 must provide the right impetus to include capital gains tax, inheritance tax, and the burgeoning e-commerce sector, all of which currently remain largely outside mainstream taxation, ensuring a more comprehensive and equitable revenue framework.
The substantial imprint of provincial development budgets of Rs2,800 billion underscores the imperative for a restricted and software-focused federal Public Sector Development Program, compelling the federal government to concentrate exclusively on areas strictly within its domain. As provinces assume greater responsibility for key social sector efforts and their associated funds, they are no longer peripheral actors but pivotal agents of change, promising a brighter tomorrow. The success of our growth, expenditure and DRM reforms hinges on their ability to mobilise vital revenues -- particularly from agriculture and property -- manage these resources efficiently, and deliver services that directly uplift citizens’ lives.


Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE']",['POSITIVE'],POSITIVE
Xi tells Trump they need to ‘correct course’ of US-China ties: state media,https://www.thenews.com.pk/print/1319017-xi-tells-trump-they-need-to-correct-course-of-us-china-ties-state-media,"BEIJING: Chinese President Xi Jinping told his US counterpart Donald Trump that the two should “correct the course” of bilateral relations, in a Thursday phone call reported by state media.
The talks took place at Trump´s request, the Xinhua news agency said without elaborating, and come as Washington and Beijing clash over areas such as trade and student visas.
Xi told Trump that “to correct the course of the big ship of China-US ties, it is necessary for both sides to set the right direction, and eliminate all kinds of disruptions, even sabotage, which is especially important”, according to Xinhua.
The call follows officials from the world’s two biggest economies accusing each other of jeopardising a trade war truce agreed last month in Geneva.
“The US side should take a realistic view of the progress made and withdraw its negative initiatives against China,” Xi told Trump according to a readout from state broadcaster CCTV. He said the Geneva talks showed that “dialogue and cooperation are the only right choice”, and insisted China had abided by the agreements made in Switzerland. But the Chinese president warned Trump that Washington should tread carefully over the issue of self-ruled Taiwan, which Beijing claims as its territory.
“Xi emphasised that the United States should handle the Taiwan issue carefully to avoid a small number of ´Taiwan independence´ separatists dragging China and the United States into a dangerous situation of conflict and confrontation,” CCTV said.
Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['NEGATIVE'],NEGATIVE
Omar urges NA speaker to form panel for appointing new CEC,https://www.thenews.com.pk/print/1319018-omar-urges-na-speaker-to-form-panel-for-appointing-new-cec,"ISLAMABAD: Leader of the Opposition in the National Assembly Omar Ayub Khan Thursday requested in writing to National Assembly (NA) Speaker Sardar Ayaz Sadiq to constitute a parliamentary committee to appoint a new chief election commissioner (CEC) and two new members of the Election Commission of Pakistan (ECP).
Prime Minister Shehbaz Sharif has already written a letter to Omar Ayub inviting him to join consultations to appoint a new CEC.
In accordance with parliamentary procedure, the opposition leader nominated six members of the opposition, four from the National Assembly and two from the Senate. The nominees from the lower house of parliament are PTI Chairman Barrister Gohar Ali Khan, former NA speaker Asad Qaiser, Sunni Ittehad Council Chairman Sahibzada Hamid Raza and MNA Latif Khosa.
Likewise, from the upper house of parliament, he has named Senators Shibli Faraz of PTI and Allama Raja Nasir Abbas of MWM.
Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['NEGATIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE']",['NEGATIVE'],NEGATIVE
"No final decision on changes to net metering policy, clarifies Power Division",https://www.thenews.com.pk/print/1319019-no-final-decision-on-changes-to-net-metering-policy-clarifies-power-division,"LAHORE: The Power Division said on Thursday that no final decision has been made regarding changes to Pakistan’s net metering policy, stating that the consultation process is still ongoing and various proposals remain under consideration.
The Power Division spokesperson said it was premature to form an opinion regarding reports that buyback rate for net metering consumers may be reduced to Rs10 per unit, adding that the matter still needs to go before the prime minister and no final outcome has been reached. Sources in the Ministry of Energy said that a principled decision had been taken to revise the net metering policy. A summary on the matter has been prepared and will be presented to the federal cabinet for approval after the budget. Among the proposals under review is a suggestion to reduce the per-unit cash payment to solar consumers from the existing Rs27 to Rs10, according to sources.

Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['NEGATIVE'],NEGATIVE
"Nepra clears Rs50bn KE write-off, approves Rs2.99 per unit fuel relief",https://www.thenews.com.pk/print/1319020-nepra-clears-rs50bn-ke-write-off-approves-rs2-99-unit-fuel-relief,"ISLAMABAD: The National Electric Power Regulatory Authority (Nepra) has approved a Rs50.01 billion write-off for K-Electric (KE) as ‘full and final settlement’ of uncollected billing claims related to its multi-year tariff (MYT) from 2017 to 2023. This approved amount is over two-thirds of KE’s original claim of Rs76.03 billion.
While approving the amount, Nepra noted that independent auditors confirmed KE had exhausted all possible recovery efforts. However, the regulator directed KE to continue pursuing recoveries and to pass any amount recovered from these write-offs directly to consumers through future quarterly tariff adjustments. Additionally, KE must submit annual certificates from its auditors disclosing any such recoveries.
Meanwhile, the Karachi-based utility said in a statement that KE Chief Executive Officer (CEO) Moonis Alvi welcomed the decision, stating, “With this decision, majority of items pending to the previous control period have come to a close. KE looks forward to the MYT for the control period spanning FY24 to FY30, committed to meeting its serviced territory’s energy needs.”
The decision was issued after public hearings and detailed deliberations, where stakeholders raised concerns that were addressed by KE management. Nepra reviewed the claims through internal scrutiny and third-party validation by accredited audit firms.
“These costs were part of the Multi-Year Tariff awarded to the utility for the period 2017–2023, and have been approved after stringent benchmarks, audits and fulfilment of conditions laid down by Nepra in its tariff determination,” it said.
Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE']",['NEGATIVE'],NEGATIVE
Notice,https://www.thenews.com.pk/print/1319021-notice,"Due to Eid holidays, The News on Sunday will be delivered today (Friday) with the regular newspaper.

Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['POSITIVE', 'NEGATIVE', 'NEGATIVE']",['POSITIVE'],NEGATIVE
Asif warns of ‘pre-Simla’ reversion if India undermines IWT,https://www.thenews.com.pk/print/1319022-asif-warns-of-pre-simla-reversion-if-india-undermines-iwt,"KARACHI: Defence Minister Khawaja Asif has clarified that his remarks about the Simla Agreement having lost relevance were made in a specific context, and not as an official policy stance. Speaking to Shahzeb Khanzada on Geo News on Thursday night, Asif explained: “I said this in the context of the IWT — that if the IWT is held in abeyance, then the same will apply to the Simla Agreement.”
He added that if India continues to unilaterally alter the terms of the Indus Waters Treaty (IWT), then Pakistan could also reconsider its commitment to the Simla Agreement and revert to its pre-Simla position. According to Asif, such a development would have tangible consequences and would clarify Pakistan’s stance on the Kashmir issue.
Delving deeper into his personal view, Asif remarked that the Simla Agreement had, in his reading, introduced ambiguity into the Kashmir dispute. He termed the agreement “an attempt at deleting history through the agreement”, and said India had signed it from a “position of advantage”. However, he stressed that his observations were his own as a student of history and politics, and not representative of the state’s position. “The Ministry of Foreign Affairs had nothing to do with my personal opinion at all”, he noted.
Earlier in the day, the minister had made headlines when he told Geo News that the 1972 Simla Agreement had lost its “sanctity” in light of India’s unilateral actions, particularly the suspension of the IWT. “The [Simla] agreement was bilateral […] as no third party or the World Bank was involved”, he had said, warning that without the bilateral treaty, the Line of Control (LoC) would effectively revert to a ceasefire line.
Asif also reiterated that India could not unilaterally withdraw from the IWT, nor could it control water flow at will, rejecting Indian claims of termination as legally untenable. However, official sources from the Ministry of Foreign Affairs were quick to counter any perception of a policy shift. According to these sources, the Simla Agreement remains intact and no decision has been made to annul it. “No such decision exists in written form so far”, said one official. A senior official from the Interior Ministry also confirmed to Geo News on Thursday that there has been no formal move to terminate any bilateral agreements with India. This clarification had followed Khawaja Asif’s remarks, which had sparked speculation over a possible shift in Pakistan’s long-standing policy on its treaties with India.
Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['NEGATIVE'],NEGATIVE
Pakistan not among 12 nations hit by Trump travel ban,https://www.thenews.com.pk/print/1319023-pakistan-not-among-12-nations-hit-by-trump-travel-ban,"WASHINGTON: In a move aimed at protecting the United States from “foreign terrorists” and other security threats, President Donald Trump on Wednesday signed a proclamation banning the citizens of 12 countries from entering the United States. Contrary to earlier fears raised in March, Pakistan is not among the countries affected by the new travel restrictions.
The directive is part of an immigration crackdown Trump launched this year at the start of his second term, which has included the deportation to El Salvador of hundreds of Venezuelans suspected of being gang members, as well as efforts to deny enrollments of some foreign students and deport others.
The countries affected by the latest travel ban are Afghanistan, Myanmar, Chad, Congo, Equatorial Guinea, Eritrea, Haiti, Iran, Libya, Somalia, Sudan and Yemen.
The entry of people from seven other countries—Burundi, Cuba, Laos, Sierra Leone, Togo, Turkmenistan and Venezuela—will be partially restricted.
“We will not allow people to enter our country who wish to do us harm,” Trump said in a video posted on X. He said the list could be revised and new countries could be added.
The proclamation is effective on June 9, 2025 at 12:01 a.m. EDT (0401 GMT). Visas issued before that date will not be revoked, the order said.
The African Union’s Commission expressed concern on Thursday about the potential negative impact of the new travel ban on educational exchanges, commercial engagement and broader diplomatic relations.
“The African Union Commission respectfully calls upon the US administration to consider adopting a more consultative approach and to engage in constructive dialogue with the countries concerned,” it said in a statement.
During his first, 2017-21 term in office, Trump announced a ban on travelers from seven Muslim-majority nations, a policy that went through several iterations before it was upheld by the Supreme Court in 2018.
Former President Joe Biden, a Democrat who succeeded Trump, repealed that ban on nationals from Iran, Libya, Somalia, Syria and Yemen in 2021, calling it “a stain on our national conscience”.
Trump said the countries subject to the most severe restrictions were determined to harbour a “large-scale presence of terrorists,” fail to cooperate on visa security, have an inability to verify travelers’ identities as well as inadequate record-keeping of criminal histories and high rates of visa overstays in the United States.
“We cannot have open migration from any country where we cannot safely and reliably vet and screen those who seek to enter the United States,” Trump said.
He cited Sunday’s incident in Boulder, Colorado in which a man tossed a gasoline bomb into a crowd of pro-Israel demonstrators as an example of why the new curbs are needed. An Egyptian national, Mohamed Sabry Soliman, has been charged in the attack. Federal officials said Soliman had overstayed his tourist visa and had an expired work permit—although Egypt is not on the list of countries facing travel limits.
Exceptions to the travel ban include:  Any lawful permanent resident of the United States; dual nationals; diplomats traveling on valid non-immigrant visas; athletes or members of an athletic team and immediate relatives, traveling for the World Cup, Olympics, or other major sporting event; immediate family immigrant visas; adoptions; Afghan Special Immigrant Visas; Special Immigrant Visas for United States government employees; Immigrant visas for ethnic and religious minorities facing persecution in Iran. Reuters reported in March that the Trump administration had a list of 41 countries that it was considering for travel restrictions. Seventeen of the countries targeted by Trump on Wednesday were on the list in March—Burundi and Togo were not. Countries on the March list that were not targeted on Wednesday include Pakistan.
Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['NEGATIVE'],NEGATIVE
Govt approves construction of Danish varsity with £190m received from UK,https://www.thenews.com.pk/print/1319024-govt-approves-construction-of-danish-varsity-with-190m-received-from-uk,"ISLAMABAD: The Shehbaz Sharif-led government has approved the construction of a Danish University with the help of 190 million pounds received from the UK’s National Crime Agency (NCA) during the tenure of former premier Imran Khan.
Prime Minister Shehbaz Sharif has also constituted a high-powered committee under Deputy Prime Minister Ishaq Dar. It comprises National Security Adviser Lt-Gen Asim Malik, who is the DG ISI, and others to evolve a consensus among the Centre and provinces for setting aside financial resources for the construction of water storages/dams in the aftermath of water aggression from India. The committee is mandated to devise a strategy within 72 hours and implement its decision to divert resources for combating Indian water aggression. This was disclosed by Minister for Planning Ahsan Iqbal on Thursday on the occasion of the launch of 13th Five Year Plan and Monthly Development Update at a news conference along with Chief Economist Dr Imtiaz Ahmed.
It envisages ambitious targets on infrastructure and environment in five years, including raising Electric Vehicle share to 25 per cent, nearly doubling water storage capacity, GHG emissions cut by 50 per cent, renewable energy capacity increase by 60 per cent, expansion of national road and rail networks by 35 per cent and urban green spaces’ increase by 20 per cent.
The Five-Year Plan envisages that the real GDP growth would be increased from 2.68 percent in the outgoing fiscal to 6 percent by 2028-29. The GDP growth has been envisaged at 4.2 percent in FY2025-26, 5.1 percent in 2026-27, 5.7 percent in 2027-28 and in the fifth year 6 percent in 2028-29. The growth in agriculture sector has been envisaged slow and steady in the coming five years projected to touch from 0.6 percent in the outgoing fiscal to 5.1 percent by 2028-29. The industrial growth will go up to 6.9 percent by 2028-29 while services sector is expected to increase up to 6.2 percent by 2028-29. The exports target has been set at $63 billion in five years, inflation to be reduced to 6.2 percent, foreign direct investment to rise by 30 per cent, unemployment rate to be under 5 per cent and increase in industrial production by 40 per cent. For the social sector, the 13th Five Year Plan envisages doubling of education spending to 4 percent, halving poverty to 12 percent population living below the poverty line, reducing infant mortality to 40 per 1,000, and universal access to primary healthcare, increasing literacy rate to 85 per cent and gender parity in education enrollment.
On the Public Sector Development Programme (PSDP) for the next budget, he said that the SDGs Achievement Programme funding was increased from Rs50 to Rs70 billion as recommended by a committee constituted by the PM and the HEC budget was reduced because the provinces possessed surpluses in revenues compared to the Centre.
The minister said that the size of Pakistan’s economy was projected to touch $600 billion in five years period and by 2035 they were eyeing economy to the tune of $1 trillion. He said remittances went up by $10 billion in the last one decade increasing from $27 billion to $37 billion despite the fact that one political party had asked overseas Pakistanis to stop sending money to the country.
Russian Foreign Minister had meeting with Tariq Fatemi, who handed him letter from his PM for President Putin
This clause is being included as part of the financial legislation accompanying federal budget
Musk stunned reporters at time by turning up with black eye that he said was caused by his son
Gandapur said Imran Khan had ordered investment of funds in Khyber Pakhtunkhwa on human welfare
China’s foreign ministry vowed on Thursday to “resolutely safeguard legitimate rights and interests of its...
Boy, who was 14 and wearing balaclava at time of killing punched, kicked and racially abused Kohli during attack
Copyright © 2025. The News International, All Rights Reserved |Contact Us|Authors","['POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'POSITIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE', 'NEGATIVE']",['POSITIVE'],NEUTRAL
